Plot      PollinatorPollinatorPollinatorFunctionalSpecies   Abundance
24        SarcophagiDiptera   Diptera   Large_flieEFL       1
24        SarcophagiDiptera   Diptera   Large_flieROF       1
4         SarcophagiDiptera   Diptera   Large_flieTVUF      1
13        SarcophagiDiptera   Diptera   Large_flieTVUF      1
38        SarcophagiDiptera   Diptera   Large_flieTVUF      1
13        SarcophagiDiptera   Diptera   Large_flieTVUH      1
32        SarcophagiDiptera   Diptera   Large_flieTVUH      1
27        SarcophagiDiptera   Diptera   Large_flieTVUH      1
34        SarcophagiDiptera   Diptera   Large_flieTVUH      1
19        SarcophagiDiptera   Diptera   Large_flieEFL       1
19        SarcophagiDiptera   Diptera   Large_flieROF       1
21        SarcophagiDiptera   Diptera   Large_flieROF       1
9         SarcophagiDiptera   Diptera   Large_flieTVUF      1
14        SarcophagiDiptera   Diptera   Large_flieTVUF      1
16        SarcophagiDiptera   Diptera   Large_flieTVUF      2
21        SarcophagiDiptera   Diptera   Large_flieTVUF      1
34        SarcophagiDiptera   Diptera   Large_flieTVUF      1
34        SarcophagiDiptera   Diptera   Large_flieTVUH      1
36        SarcophagiDiptera   Diptera   Large_flieTVUH      1
31        SarcophagiDiptera   Diptera   Large_flieTVUF      1
34        SarcophagiDiptera   Diptera   Large_flieTVUF      1
36        SarcophagiDiptera   Diptera   Large_flieTVUF      1
38        SarcophagiDiptera   Diptera   Large_flieTVUF      1
36        SarcophagiDiptera   Diptera   Large_flieTVUH      1
8         SarcophagiDiptera   Diptera   Large_flieTVUH      1
32        SarcophagiDiptera   Diptera   Large_flieTVUH      1
24        ScatophagiDiptera   Diptera   Large_flieECH       1
14        ScatophagiDiptera   Diptera   Large_flieROF       1
2         StratyomidDiptera   Diptera   Large_flieROF       1
2         StratyomidDiptera   Diptera   Large_flieTVUH      1
35        StratyomidDiptera   Diptera   Large_flieTVUH      1
7         TachinidaeDiptera   Diptera   Large_flieROF       1
20        TachinidaeDiptera   Diptera   Large_flieROF       1
33        Empididae Diptera   Diptera   Small_flieCSA       1
24        Empididae Diptera   Diptera   Small_flieEFL       1
35        Empididae Diptera   Diptera   Small_flieEFL       1
24        Empididae Diptera   Diptera   Small_flieHOE       1
29        Empididae Diptera   Diptera   Small_flieHOE       1
2         Empididae Diptera   Diptera   Small_flieTVUF      1
3         Empididae Diptera   Diptera   Small_flieTVUF      5
7         Empididae Diptera   Diptera   Small_flieTVUF      3
11        Empididae Diptera   Diptera   Small_flieTVUF      2
21        Empididae Diptera   Diptera   Small_flieTVUF      1
23        Empididae Diptera   Diptera   Small_flieTVUF      2
28        Empididae Diptera   Diptera   Small_flieTVUF      1
29        Empididae Diptera   Diptera   Small_flieTVUF      2
30        Empididae Diptera   Diptera   Small_flieTVUF      1
32        Empididae Diptera   Diptera   Small_flieTVUF      1
33        Empididae Diptera   Diptera   Small_flieTVUF      2
38        Empididae Diptera   Diptera   Small_flieTVUF      1
9         Empididae Diptera   Diptera   Small_flieTVUH      2
24        Empididae Diptera   Diptera   Small_flieTVUH      2
27        Empididae Diptera   Diptera   Small_flieTVUH      1
29        Empididae Diptera   Diptera   Small_flieTVUH      2
30        Empididae Diptera   Diptera   Small_flieTVUH      1
33        Empididae Diptera   Diptera   Small_flieTVUH      1
37        Empididae Diptera   Diptera   Small_flieTVUH      3
9         Gymnosoma Diptera   Diptera   Small_flieEFL       1
30        Gymnosoma Diptera   Diptera   Small_flieEFL       2
2         Mosca_petiDiptera   Diptera   Small_flieROF       1
5         Mosca_petiDiptera   Diptera   Small_flieTVUH      1
28        Mosca_petiDiptera   Diptera   Small_flieROF       1
14        Eurydema_oHeteropterHeteropterBugs      EFL       2
40        HadrodemusHeteropterHeteropterBugs      TVUH      1
17        HeteropterHeteropterHeteropterBugs      EFL       1
40        Miridae_1 HeteropterHeteropterBugs      ROF       2
4         Miridae_2 HeteropterHeteropterBugs      ROF       1
34        Miridae_3 HeteropterHeteropterBugs      HOE       1
14        Apis      Honeybees Honeybees Long-tonguCAL       1
37        Apis      Honeybees Honeybees Long-tonguCAL       4
32        Apis      Honeybees Honeybees Long-tonguCSA       3
33        Apis      Honeybees Honeybees Long-tonguCSA       4
38        Apis      Honeybees Honeybees Long-tonguCSA       2
39        Apis      Honeybees Honeybees Long-tonguCSA       1
7         Apis      Honeybees Honeybees Long-tonguCSP       1
2         Apis      Honeybees Honeybees Long-tonguEFL       1
5         Apis      Honeybees Honeybees Long-tonguEFL       1
3         Apis      Honeybees Honeybees Long-tonguEMU       1
39        Apis      Honeybees Honeybees Long-tonguFLA       1
25        Apis      Honeybees Honeybees Long-tonguHOE       1
13        Apis      Honeybees Honeybees Long-tonguPRUNUS    3
1         Apis      Honeybees Honeybees Long-tonguROF       40
2         Apis      Honeybees Honeybees Long-tonguROF       161
3         Apis      Honeybees Honeybees Long-tonguROF       120
4         Apis      Honeybees Honeybees Long-tonguROF       106
5         Apis      Honeybees Honeybees Long-tonguROF       60
6         Apis      Honeybees Honeybees Long-tonguROF       19
7         Apis      Honeybees Honeybees Long-tonguROF       19
8         Apis      Honeybees Honeybees Long-tonguROF       24
9         Apis      Honeybees Honeybees Long-tonguROF       69
10        Apis      Honeybees Honeybees Long-tonguROF       33
11        Apis      Honeybees Honeybees Long-tonguROF       14
12        Apis      Honeybees Honeybees Long-tonguROF       27
13        Apis      Honeybees Honeybees Long-tonguROF       20
14        Apis      Honeybees Honeybees Long-tonguROF       137
15        Apis      Honeybees Honeybees Long-tonguROF       47
16        Apis      Honeybees Honeybees Long-tonguROF       19
17        Apis      Honeybees Honeybees Long-tonguROF       59
18        Apis      Honeybees Honeybees Long-tonguROF       58
19        Apis      Honeybees Honeybees Long-tonguROF       126
20        Apis      Honeybees Honeybees Long-tonguROF       133
21        Apis      Honeybees Honeybees Long-tonguROF       35
22        Apis      Honeybees Honeybees Long-tonguROF       20
23        Apis      Honeybees Honeybees Long-tonguROF       93
24        Apis      Honeybees Honeybees Long-tonguROF       184
25        Apis      Honeybees Honeybees Long-tonguROF       57
26        Apis      Honeybees Honeybees Long-tonguROF       2
27        Apis      Honeybees Honeybees Long-tonguROF       11
28        Apis      Honeybees Honeybees Long-tonguROF       1
30        Apis      Honeybees Honeybees Long-tonguROF       70
31        Apis      Honeybees Honeybees Long-tonguROF       24
32        Apis      Honeybees Honeybees Long-tonguROF       66
33        Apis      Honeybees Honeybees Long-tonguROF       34
34        Apis      Honeybees Honeybees Long-tonguROF       1
36        Apis      Honeybees Honeybees Long-tonguROF       11
37        Apis      Honeybees Honeybees Long-tonguROF       13
38        Apis      Honeybees Honeybees Long-tonguROF       21
39        Apis      Honeybees Honeybees Long-tonguROF       8
40        Apis      Honeybees Honeybees Long-tonguROF       13
1         Apis      Honeybees Honeybees Long-tonguTVUF      3
2         Apis      Honeybees Honeybees Long-tonguTVUF      4
4         Apis      Honeybees Honeybees Long-tonguTVUF      10
5         Apis      Honeybees Honeybees Long-tonguTVUF      4
6         Apis      Honeybees Honeybees Long-tonguTVUF      1
7         Apis      Honeybees Honeybees Long-tonguTVUF      10
8         Apis      Honeybees Honeybees Long-tonguTVUF      2
9         Apis      Honeybees Honeybees Long-tonguTVUF      2
11        Apis      Honeybees Honeybees Long-tonguTVUF      4
12        Apis      Honeybees Honeybees Long-tonguTVUF      3
13        Apis      Honeybees Honeybees Long-tonguTVUF      2
14        Apis      Honeybees Honeybees Long-tonguTVUF      4
15        Apis      Honeybees Honeybees Long-tonguTVUF      1
16        Apis      Honeybees Honeybees Long-tonguTVUF      9
19        Apis      Honeybees Honeybees Long-tonguTVUF      14
20        Apis      Honeybees Honeybees Long-tonguTVUF      2
21        Apis      Honeybees Honeybees Long-tonguTVUF      2
22        Apis      Honeybees Honeybees Long-tonguTVUF      3
23        Apis      Honeybees Honeybees Long-tonguTVUF      1
24        Apis      Honeybees Honeybees Long-tonguTVUF      1
25        Apis      Honeybees Honeybees Long-tonguTVUF      2
26        Apis      Honeybees Honeybees Long-tonguTVUF      1
27        Apis      Honeybees Honeybees Long-tonguTVUF      1
28        Apis      Honeybees Honeybees Long-tonguTVUF      4
29        Apis      Honeybees Honeybees Long-tonguTVUF      12
30        Apis      Honeybees Honeybees Long-tonguTVUF      4
31        Apis      Honeybees Honeybees Long-tonguTVUF      3
32        Apis      Honeybees Honeybees Long-tonguTVUF      20
33        Apis      Honeybees Honeybees Long-tonguTVUF      16
34        Apis      Honeybees Honeybees Long-tonguTVUF      5
35        Apis      Honeybees Honeybees Long-tonguTVUF      1
36        Apis      Honeybees Honeybees Long-tonguTVUF      71
37        Apis      Honeybees Honeybees Long-tonguTVUF      23
38        Apis      Honeybees Honeybees Long-tonguTVUF      11
39        Apis      Honeybees Honeybees Long-tonguTVUF      6
1         Apis      Honeybees Honeybees Long-tonguTVUH      16
2         Apis      Honeybees Honeybees Long-tonguTVUH      12
3         Apis      Honeybees Honeybees Long-tonguTVUH      1
4         Apis      Honeybees Honeybees Long-tonguTVUH      3
6         Apis      Honeybees Honeybees Long-tonguTVUH      8
8         Apis      Honeybees Honeybees Long-tonguTVUH      6
9         Apis      Honeybees Honeybees Long-tonguTVUH      11
11        Apis      Honeybees Honeybees Long-tonguTVUH      3
12        Apis      Honeybees Honeybees Long-tonguTVUH      8
13        Apis      Honeybees Honeybees Long-tonguTVUH      5
14        Apis      Honeybees Honeybees Long-tonguTVUH      1
15        Apis      Honeybees Honeybees Long-tonguTVUH      7
16        Apis      Honeybees Honeybees Long-tonguTVUH      20
19        Apis      Honeybees Honeybees Long-tonguTVUH      3
22        Apis      Honeybees Honeybees Long-tonguTVUH      2
27        Apis      Honeybees Honeybees Long-tonguTVUH      1
28        Apis      Honeybees Honeybees Long-tonguTVUH      1
29        Apis      Honeybees Honeybees Long-tonguTVUH      20
30        Apis      Honeybees Honeybees Long-tonguTVUH      1
31        Apis      Honeybees Honeybees Long-tonguTVUH      9
32        Apis      Honeybees Honeybees Long-tonguTVUH      17
33        Apis      Honeybees Honeybees Long-tonguTVUH      4
34        Apis      Honeybees Honeybees Long-tonguTVUH      15
35        Apis      Honeybees Honeybees Long-tonguTVUH      2
36        Apis      Honeybees Honeybees Long-tonguTVUH      56
37        Apis      Honeybees Honeybees Long-tonguTVUH      41
38        Apis      Honeybees Honeybees Long-tonguTVUH      49
39        Apis      Honeybees Honeybees Long-tonguTVUH      7
29        Butterfly LepidopterLepidopterButterfly TVUH      2
25        CallophrysLepidopterLepidopterButterfly ROF       1
34        GonopteryxLepidopterLepidopterButterfly AMO       1
15        Leptidea_sLepidopterLepidopterButterfly ROF       1
25        Pieris_rapLepidopterLepidopterButterfly ROF       1
34        PseudophilLepidopterLepidopterButterfly HOE       1
1         PseudophilLepidopterLepidopterButterfly TVUF      1
4         PseudophilLepidopterLepidopterButterfly TVUF      1
8         PseudophilLepidopterLepidopterButterfly TVUF      1
13        PseudophilLepidopterLepidopterButterfly TVUF      1
14        PseudophilLepidopterLepidopterButterfly TVUF      1
16        PseudophilLepidopterLepidopterButterfly TVUF      1
19        PseudophilLepidopterLepidopterButterfly TVUF      4
23        PseudophilLepidopterLepidopterButterfly TVUF      1
29        PseudophilLepidopterLepidopterButterfly TVUF      1
30        PseudophilLepidopterLepidopterButterfly TVUF      2
34        PseudophilLepidopterLepidopterButterfly TVUF      1
36        PseudophilLepidopterLepidopterButterfly TVUF      1
40        PseudophilLepidopterLepidopterButterfly TVUF      1
2         PseudophilLepidopterLepidopterButterfly TVUH      1
16        PseudophilLepidopterLepidopterButterfly TVUH      1
21        PseudophilLepidopterLepidopterButterfly TVUH      1
22        PseudophilLepidopterLepidopterButterfly TVUH      1
29        PseudophilLepidopterLepidopterButterfly TVUH      3
32        PseudophilLepidopterLepidopterButterfly TVUH      1
36        PseudophilLepidopterLepidopterButterfly TVUH      1
37        PseudophilLepidopterLepidopterButterfly TVUH      1
24        Adela_aldrLepidopterLepidopterMoth      BLA       1
34        Adela_aldrLepidopterLepidopterMoth      DPE       1
17        Adela_aldrLepidopterLepidopterMoth      ROF       2
18        Adela_aldrLepidopterLepidopterMoth      ROF       1
20        Adela_aldrLepidopterLepidopterMoth      ROF       3
21        Adela_aldrLepidopterLepidopterMoth      ROF       2
23        Adela_aldrLepidopterLepidopterMoth      ROF       1
24        Adela_aldrLepidopterLepidopterMoth      ROF       6
7         Adela_aldrLepidopterLepidopterMoth      TVUF      2
19        Adela_aldrLepidopterLepidopterMoth      TVUF      1
20        Adela_aldrLepidopterLepidopterMoth      TVUF      1
21        Adela_aldrLepidopterLepidopterMoth      TVUF      3
22        Adela_aldrLepidopterLepidopterMoth      TVUF      4
8         Adela_aldrLepidopterLepidopterMoth      TVUH      2
15        Adela_aldrLepidopterLepidopterMoth      TVUH      2
21        Adela_aldrLepidopterLepidopterMoth      TVUH      1
22        Adela_aldrLepidopterLepidopterMoth      TVUH      5
24        Adela_aldrLepidopterLepidopterMoth      TVUH      2
20        MicrolepidLepidopterLepidopterMoth      ROF       1
34        MicrolepidLepidopterLepidopterMoth      TVUF      1
36        MicrolepidLepidopterLepidopterMoth      TVUF      6
37        MicrolepidLepidopterLepidopterMoth      TVUF      1
38        MicrolepidLepidopterLepidopterMoth      TVUF      5
34        MicrolepidLepidopterLepidopterMoth      TVUH      1
36        MicrolepidLepidopterLepidopterMoth      TVUH      1
37        MicrolepidLepidopterLepidopterMoth      TVUH      1
38        MicrolepidLepidopterLepidopterMoth      TVUH      5
30        Moth_1    LepidopterLepidopterMoth      TVUH      1
37        PterophoriLepidopterLepidopterMoth      TVUH      1
24        Mecoptera Mecoptera Mecoptera Others    ROF       1
16        Chrysura_dWasp      Wasp      Large_waspUMBE      1
19        Eumenes_coWasp      Wasp      Large_waspTVUF      1
22        Eumenes_coWasp      Wasp      Large_waspTVUF      1
18        EuodynerusWasp      Wasp      Large_waspTVUF      1
9         EuodynerusWasp      Wasp      Large_waspTVUH      1
18        GasteruptiWasp      Wasp      Large_waspTVUF      1
9         HimenòpterWasp      Wasp      Large_waspROF       1
20        IchneumoniWasp      Wasp      Large_waspROF       1
16        IchneumoniWasp      Wasp      Large_waspTVUH      1
34        IchneumoniWasp      Wasp      Large_waspTVUH      2
16        Polistes_gWasp      Wasp      Large_waspEFL       1
12        Polistes_gWasp      Wasp      Large_waspTVUF      1
36        Polistes_gWasp      Wasp      Large_waspTVUF      2
20        PompilidaeWasp      Wasp      Large_waspROF       1
8         Sphecodes Wasp      Wasp      Large_waspROF       1
20        Symphyta  Wasp      Wasp      Large_waspROF       1
38        Vespa_paraWasp      Wasp      Large_waspTVUF      1
18        BraconidaeWasp      Wasp      Small_waspTVUF      1
3         ChalcididaWasp      Wasp      Small_waspTVUF      1
3         ChalcididaWasp      Wasp      Small_waspROF       1
3         ChalcididaWasp      Wasp      Small_waspTVUF      1
9         ChalcididaWasp      Wasp      Small_waspEFL       1
21        ChalcididaWasp      Wasp      Small_waspTVUF      1
28        ChalcididaWasp      Wasp      Small_waspEFL       1
20        Diodontus Wasp      Wasp      Small_waspTVUH      1
35        HimenopterWasp      Wasp      Small_waspHOE       1
